team,pos,id,tour,prizepool,place,prizeusd,start,startglicko2mu,startglicko2phi,startglicko2rating,end,endglicko2mu,endglicko2phi,endglicko2rating
vicigamingreborn,5,ddc,The International 2016,20770460,13-16 ,"103,852 ",02/08/2016,,,,13/08/2016,,,
escapegaming,1,era,The International 2016,20770460,13-16 ,"103,852 ",02/08/2016,1772.0046622785046,40.6849558128088,1670.2922727464827,13/08/2016,1768.8223865295852,43.036759888239644,1661.2304868089861
escapegaming,2,qojqva,The International 2016,20770460,13-16 ,"103,852 ",02/08/2016,1772.0046622785046,40.6849558128088,1670.2922727464827,13/08/2016,1768.8223865295852,43.036759888239644,1661.2304868089861
escapegaming,3,khezu,The International 2016,20770460,13-16 ,"103,852 ",02/08/2016,1772.0046622785046,40.6849558128088,1670.2922727464827,13/08/2016,1768.8223865295852,43.036759888239644,1661.2304868089861
escapegaming,4,yapzor,The International 2016,20770460,13-16 ,"103,852 ",02/08/2016,1772.0046622785046,40.6849558128088,1670.2922727464827,13/08/2016,1768.8223865295852,43.036759888239644,1661.2304868089861
escapegaming,5,synderen,The International 2016,20770460,13-16 ,"103,852 ",02/08/2016,1772.0046622785046,40.6849558128088,1670.2922727464827,13/08/2016,1768.8223865295852,43.036759888239644,1661.2304868089861
execration安博电竞,1,nando,The International 2016,20770460,0.00,0.00,02/08/2016,1713.2777208610887,41.81716271928928,1608.7348140628656,13/08/2016,1721.5446093963153,41.629591220112644,1617.4706313460338
execration安博电竞,2,abed,The International 2016,20770460,0.00,0.00,02/08/2016,1713.2777208610887,41.81716271928928,1608.7348140628656,13/08/2016,1721.5446093963153,41.629591220112644,1617.4706313460338
execration安博电竞,3,rr,The International 2016,20770460,0.00,0.00,02/08/2016,1713.2777208610887,41.81716271928928,1608.7348140628656,13/08/2016,1721.5446093963153,41.629591220112644,1617.4706313460338
execration安博电竞,4,tims,The International 2016,20770460,0.00,0.00,02/08/2016,1713.2777208610887,41.81716271928928,1608.7348140628656,13/08/2016,1721.5446093963153,41.629591220112644,1617.4706313460338
execration安博电竞,5,kim0,The International 2016,20770460,0.00,0.00,02/08/2016,1713.2777208610887,41.81716271928928,1608.7348140628656,13/08/2016,1721.5446093963153,41.629591220112644,1617.4706313460338
teamliquid,1,matumbaman,The International 2016,20770460,7-8 ,"519,262 ",02/08/2016,1950.328420332536,39.67531133906421,1851.1401419848755,13/08/2016,1949.5312415921023,40.797655091362564,1847.5371038636958
teamliquid,2,fata,The International 2016,20770460,7-8 ,"519,262 ",02/08/2016,1950.328420332536,39.67531133906421,1851.1401419848755,13/08/2016,1949.5312415921023,40.797655091362564,1847.5371038636958
teamliquid,3,mind_control,The International 2016,20770460,7-8 ,"519,262 ",02/08/2016,1950.328420332536,39.67531133906421,1851.1401419848755,13/08/2016,1949.5312415921023,40.797655091362564,1847.5371038636958
teamliquid,4,jerax,The International 2016,20770460,7-8 ,"519,262 ",02/08/2016,1950.328420332536,39.67531133906421,1851.1401419848755,13/08/2016,1949.5312415921023,40.797655091362564,1847.5371038636958
teamliquid,5,kuroky,The International 2016,20770460,7-8 ,"519,262 ",02/08/2016,1950.328420332536,39.67531133906421,1851.1401419848755,13/08/2016,1949.5312415921023,40.797655091362564,1847.5371038636958
newbee,1,hao,The International 2016,20770460,9-12 ,"311,557 ",02/08/2016,1972.1359741477386,36.28642274086847,1881.4199172955673,13/08/2016,1958.5702736419544,38.253521839561145,1862.9364690430516
newbee,2,mu,The International 2016,20770460,9-12 ,"311,557 ",02/08/2016,1972.1359741477386,36.28642274086847,1881.4199172955673,13/08/2016,1958.5702736419544,38.253521839561145,1862.9364690430516
newbee,3,kpii,The International 2016,20770460,9-12 ,"311,557 ",02/08/2016,1972.1359741477386,36.28642274086847,1881.4199172955673,13/08/2016,1958.5702736419544,38.253521839561145,1862.9364690430516
newbee,4,chuan,The International 2016,20770460,9-12 ,"311,557 ",02/08/2016,1972.1359741477386,36.28642274086847,1881.4199172955673,13/08/2016,1958.5702736419544,38.253521839561145,1862.9364690430516
newbee,5,kaka,The International 2016,20770460,9-12 ,"311,557 ",02/08/2016,1972.1359741477386,36.28642274086847,1881.4199172955673,13/08/2016,1958.5702736419544,38.253521839561145,1862.9364690430516
lgdgaming,1,agressif,The International 2016,20770460,9-12 ,"311,557 ",02/08/2016,1914.448020631284,38.530402204877554,1818.12201511909,13/08/2016,1909.698896511738,40.5571345067891,1808.3060602447651
lgdgaming,2,maybe,The International 2016,20770460,9-12 ,"311,557 ",02/08/2016,1914.448020631284,38.530402204877554,1818.12201511909,13/08/2016,1909.698896511738,40.5571345067891,1808.3060602447651
lgdgaming,3,xiao8,The International 2016,20770460,9-12 ,"311,557 ",02/08/2016,1914.448020631284,38.530402204877554,1818.12201511909,13/08/2016,1909.698896511738,40.5571345067891,1808.3060602447651
lgdgaming,4,banana,The International 2016,20770460,9-12 ,"311,557 ",02/08/2016,1914.448020631284,38.530402204877554,1818.12201511909,13/08/2016,1909.698896511738,40.5571345067891,1808.3060602447651
lgdgaming,5,mmy,The International 2016,20770460,9-12 ,"311,557 ",02/08/2016,1914.448020631284,38.530402204877554,1818.12201511909,13/08/2016,1909.698896511738,40.5571345067891,1808.3060602447651
mvpphoenix,1,mp,The International 2016,20770460,5-6 ,"934,761 ",02/08/2016,1857.8799177027247,40.65095628009016,1756.2525270024994,13/08/2016,1853.2287859833705,41.54942984331212,1749.3552113750902
mvpphoenix,2,qo,The International 2016,20770460,5-6 ,"934,761 ",02/08/2016,1857.8799177027247,40.65095628009016,1756.2525270024994,13/08/2016,1853.2287859833705,41.54942984331212,1749.3552113750902
mvpphoenix,3,forev,The International 2016,20770460,5-6 ,"934,761 ",02/08/2016,1857.8799177027247,40.65095628009016,1756.2525270024994,13/08/2016,1853.2287859833705,41.54942984331212,1749.3552113750902
mvpphoenix,4,febby,The International 2016,20770460,5-6 ,"934,761 ",02/08/2016,1857.8799177027247,40.65095628009016,1756.2525270024994,13/08/2016,1853.2287859833705,41.54942984331212,1749.3552113750902
mvpphoenix,5,dubu,The International 2016,20770460,5-6 ,"934,761 ",02/08/2016,1857.8799177027247,40.65095628009016,1756.2525270024994,13/08/2016,1853.2287859833705,41.54942984331212,1749.3552113750902
natusvincere,1,dityara,The International 2016,20770460,13-16 ,"103,852 ",02/08/2016,1913.494329595796,38.21742593812552,1817.9507647504822,13/08/2016,1909.5272380988708,40.77677362567409,1807.5853040346856
natusvincere,2,dendi,The International 2016,20770460,13-16 ,"103,852 ",02/08/2016,1913.494329595796,38.21742593812552,1817.9507647504822,13/08/2016,1909.5272380988708,40.77677362567409,1807.5853040346856
natusvincere,3,general,The International 2016,20770460,13-16 ,"103,852 ",02/08/2016,1913.494329595796,38.21742593812552,1817.9507647504822,13/08/2016,1909.5272380988708,40.77677362567409,1807.5853040346856
natusvincere,4,sonneiko,The International 2016,20770460,13-16 ,"103,852 ",02/08/2016,1913.494329595796,38.21742593812552,1817.9507647504822,13/08/2016,1909.5272380988708,40.77677362567409,1807.5853040346856
natusvincere,5,artstyle,The International 2016,20770460,13-16 ,"103,852 ",02/08/2016,1913.494329595796,38.21742593812552,1817.9507647504822,13/08/2016,1909.5272380988708,40.77677362567409,1807.5853040346856
evilgeniuses,1,fear,The International 2016,20770460,3 ,"2,180,898 ",02/08/2016,1913.2223264567647,43.60446571945098,1804.2111621581373,13/08/2016,1920.9424397921068,43.14330975625814,1813.0841654014614
